ECHID	Instrument	Foodstuff	Drying	Supplier	REP	PosRep
26	Ins_2	fs_1	Ref	Cy	2	3
27	Ins_2	fs_1	Ref	Cy	3	1
27	Ins_2	fs_1	Ref	Cy	3	2
27	Ins_2	fs_1	Ref	Cy	3	3
28	Ins_2	fs_1	Ref	Cy	4	1
28	Ins_2	fs_1	Ref	Cy	4	2
28	Ins_2	fs_1	Ref	Cy	4	3
37	Ins_1	fs_2	Ref	S47	1	1
37	Ins_1	fs_2	Ref	S47	1	2
37	Ins_1	fs_2	Ref	S47	1	3
38	Ins_1	fs_2	Ref	S47	2	1
38	Ins_1	fs_2	Ref	S47	2	2
38	Ins_1	fs_2	Ref	S47	2	3
39	Ins_1	fs_2	Ref	S47	3	1
39	Ins_1	fs_2	Ref	S47	3	2
39	Ins_1	fs_2	Ref	S47	3	3
40	Ins_1	fs_2	Ref	S47	4	1
40	Ins_1	fs_2	Ref	S47	4	2
40	Ins_1	fs_2	Ref	S47	4	3
5	Ins_1	fs_1	Com	PC_2	1	1
5	Ins_1	fs_1	Com	PC_2	1	2
5	Ins_1	fs_1	Com	PC_2	1	3
6	Ins_1	fs_1	Com	PC_2	2	1
6	Ins_1	fs_1	Com	PC_2	2	2
6	Ins_1	fs_1	Com	PC_2	2	3
7	Ins_1	fs_1	Com	PC_2	3	1
7	Ins_1	fs_1	Com	PC_2	3	2
7	Ins_1	fs_1	Com	PC_2	3	3
8	Ins_1	fs_1	Com	PC_2	4	1
8	Ins_1	fs_1	Com	PC_2	4	2
8	Ins_1	fs_1	Com	PC_2	4	3
53	Ins_2	fs_2	Ref	S47	1	1
53	Ins_2	fs_2	Ref	S47	1	2
53	Ins_2	fs_2	Ref	S47	1	3
54	Ins_2	fs_2	Ref	S47	2	1
54	Ins_2	fs_2	Ref	S47	2	2
54	Ins_2	fs_2	Ref	S47	2	3
55	Ins_2	fs_2	Ref	S47	3	1
55	Ins_2	fs_2	Ref	S47	3	2
55	Ins_2	fs_2	Ref	S47	3	3
56	Ins_2	fs_2	Ref	S47	4	1
56	Ins_2	fs_2	Ref	S47	4	2
56	Ins_2	fs_2	Ref	S47	4	3
21	Ins_2	fs_1	Com	PC_2	1	1
21	Ins_2	fs_1	Com	PC_2	1	2
21	Ins_2	fs_1	Com	PC_2	1	3
22	Ins_2	fs_1	Com	PC_2	2	1
22	Ins_2	fs_1	Com	PC_2	2	2
22	Ins_2	fs_1	Com	PC_2	2	3
23	Ins_2	fs_1	Com	PC_2	3	1
23	Ins_2	fs_1	Com	PC_2	3	2
23	Ins_2	fs_1	Com	PC_2	3	3
24	Ins_2	fs_1	Com	PC_2	4	1
24	Ins_2	fs_1	Com	PC_2	4	2
24	Ins_2	fs_1	Com	PC_2	4	3
